,bsub,cerevisiae,drerio,elegans,fly
"((0, 1), (0, 1), (1, 1))",True,True,True,True,True
"((0, 1), (0, 2), (1, 3))",True,True,True,True,True
"((0, 1), (0, 3), (1, 2))",True,True,True,True,True
"((0, 2), (0, 2), (3, 3))",True,True,True,True,True
"((0, 2), (0, 3), (2, 3))",True,True,True,True,True
"((0, 3), (0, 3), (2, 2))",True,True,True,True,True
"((1, 1), (1, 1), (1, 1))",True,True,True,True,True
"((1, 3), (1, 3), (2, 2))",True,True,True,True,True
"((2, 2), (2, 3), (3, 3))",True,True,True,True,True
