((0, 1), (0, 1), (1, 1)) : 892182
((0, 1), (0, 4), (1, 5)) : 737
((0, 1), (0, 5), (1, 4)) : 459
((0, 4), (0, 4), (5, 5)) : 2
((0, 5), (0, 5), (4, 4)) : 24
((0, 1), (0, 3), (1, 2)) : 201181
((0, 1), (0, 2), (1, 3)) : 80357
((0, 2), (0, 4), (3, 5)) : 30
((0, 2), (0, 5), (3, 4)) : 28
((0, 3), (0, 5), (2, 4)) : 54177
((0, 3), (0, 4), (2, 5)) : 4
((0, 2), (0, 2), (3, 3)) : 8691
((0, 3), (0, 3), (2, 2)) : 65686461
((0, 2), (0, 3), (2, 3)) : 18337
((1, 1), (1, 1), (1, 1)) : 319434
((1, 1), (1, 4), (1, 5)) : 96
((1, 4), (1, 4), (5, 5)) : 1
((1, 5), (1, 5), (4, 4)) : 9
((1, 1), (1, 2), (1, 3)) : 409
((1, 2), (1, 4), (3, 5)) : 5
((1, 3), (1, 5), (2, 4)) : 74
((1, 2), (1, 2), (3, 3)) : 1150
((1, 2), (1, 3), (2, 3)) : 3
((1, 3), (1, 3), (2, 2)) : 14943
((2, 4), (2, 5), (3, 3)) : 17
((2, 2), (3, 4), (3, 5)) : 21
((2, 3), (2, 4), (3, 5)) : 5
((2, 2), (2, 3), (3, 3)) : 9486
