orbit	id	count
 (((2, 2), (3, 4), (3, 5)), 2), Orbit 2	207	21011
 (((1, 3), (1, 6), (2, 6)), 0), Orbit 0	197	18389
 (((1, 3), (1, 6), (2, 6)), 1), Orbit 1	198	18389
 (((1, 3), (1, 6), (2, 6)), 2), Orbit 2	199	18389
 (((2, 2), (3, 6), (3, 6)), 1), Orbit 1	252	18368
 (((2, 6), (3, 5), (4, 6)), 0), Orbit 0	217	15651
 (((2, 6), (3, 5), (4, 6)), 1), Orbit 1	218	15651
 (((2, 6), (3, 5), (4, 6)), 2), Orbit 2	219	15651
 (((2, 7), (3, 5), (4, 7)), 0), Orbit 0	178	15421
 (((2, 7), (3, 5), (4, 7)), 1), Orbit 1	179	15421
 (((2, 7), (3, 5), (4, 7)), 2), Orbit 2	180	15421
 (((0, 6), (0, 6), (6, 6)), 0), Orbit 0	75	15134
 (((1, 2), (1, 4), (3, 5)), 0), Orbit 0	116	13864
 (((1, 2), (1, 4), (3, 5)), 1), Orbit 1	117	13864
 (((1, 2), (1, 4), (3, 5)), 2), Orbit 2	118	13864
 (((2, 3), (2, 3), (2, 3)), 0), Orbit 0	244	11589
 (((2, 3), (2, 6), (3, 6)), 0), Orbit 0	248	11264
 (((2, 3), (2, 6), (3, 6)), 1), Orbit 1	249	11264
 (((2, 3), (2, 6), (3, 6)), 2), Orbit 2	250	11264
 (((2, 6), (3, 6), (6, 6)), 0), Orbit 0	255	9513
 (((2, 6), (3, 6), (6, 6)), 1), Orbit 1	256	9513
 (((2, 6), (3, 6), (6, 6)), 2), Orbit 2	257	9513
 (((2, 2), (3, 6), (3, 6)), 0), Orbit 0	251	9184
 (((0, 6), (0, 6), (6, 6)), 1), Orbit 1	76	7567
 (((0, 5), (0, 7), (4, 7)), 0), Orbit 0	18	7155
 (((0, 5), (0, 7), (4, 7)), 1), Orbit 1	19	7155
 (((0, 5), (0, 7), (4, 7)), 2), Orbit 2	20	7155
 (((1, 3), (1, 4), (2, 5)), 0), Orbit 0	122	6844
 (((1, 3), (1, 4), (2, 5)), 1), Orbit 1	123	6844
 (((1, 3), (1, 4), (2, 5)), 2), Orbit 2	124	6844
 (((1, 3), (1, 7), (2, 7)), 0), Orbit 0	166	5977
 (((1, 3), (1, 7), (2, 7)), 1), Orbit 1	167	5977
 (((1, 3), (1, 7), (2, 7)), 2), Orbit 2	168	5977
 (((0, 4), (0, 4), (5, 5)), 0), Orbit 0	8	4018
 (((0, 1), (0, 7), (1, 7)), 0), Orbit 0	15	3942
 (((0, 1), (0, 7), (1, 7)), 1), Orbit 1	16	3942
 (((0, 1), (0, 7), (1, 7)), 2), Orbit 2	17	3942
 (((6, 6), (6, 6), (6, 6)), 0), Orbit 0	258	3837
 (((1, 1), (1, 6), (1, 6)), 1), Orbit 1	141	3230
 (((2, 4), (3, 5), (4, 5)), 0), Orbit 0	137	3215
 (((2, 4), (3, 5), (4, 5)), 1), Orbit 1	138	3215
 (((2, 4), (3, 5), (4, 5)), 2), Orbit 2	139	3215
 (((1, 5), (1, 6), (4, 6)), 0), Orbit 0	145	2219
 (((1, 5), (1, 6), (4, 6)), 1), Orbit 1	146	2219
 (((1, 5), (1, 6), (4, 6)), 2), Orbit 2	147	2219
 (((1, 2), (1, 5), (3, 4)), 0), Orbit 0	119	2130
 (((1, 2), (1, 5), (3, 4)), 1), Orbit 1	120	2130
 (((1, 2), (1, 5), (3, 4)), 2), Orbit 2	121	2130
 (((2, 4), (3, 4), (5, 5)), 0), Orbit 0	134	2128
 (((2, 4), (3, 4), (5, 5)), 1), Orbit 1	135	2128
 (((2, 4), (3, 4), (5, 5)), 2), Orbit 2	136	2128
 (((0, 4), (0, 4), (5, 5)), 1), Orbit 1	9	2009
 (((1, 1), (1, 6), (1, 6)), 0), Orbit 0	140	1615
 (((4, 6), (4, 6), (5, 5)), 0), Orbit 0	153	1530
 (((0, 4), (0, 5), (4, 5)), 0), Orbit 0	12	1518
