"id1","id2"
"P38827","P29055"
"P38827","Q04002"
"P38827","P40150"
"P38827","Q07807"
"P38827","P38144"
"P38827","P39517"
"P38827","P31384"
"P38827","P00431"
"P38827","P32561"
"P39016","P29055"
"P39016","P39517"
"P39016","P40150"
"P39016","Q12221"
"P39016","P38144"
"P39016","P00431"
"P39016","P10080"
"P39016","P29509"
"P39016","P11792"
"P39016","P36148"
"P39016","Q12398"
"P39016","P23542"
"P39016","P34760"
"P39016","Q12154"
"P39016","P15108"
"P39016","P38013"
"P39016","P00445"
"P39016","P47141"
"P39016","P39676"
"P39016","P33417"
"P39016","P13574"
"P39016","Q03081"
"P39016","P21538"
"P39016","P25372"
"P39016","P18494"
"P39016","Q04925"
"P39016","P11746"
"P39016","P14164"
"P39016","P40466"
"P39016","P06774"
"P39016","Q07540"
"P39016","P33749"
"P39016","P26798"
"P39016","P39521"
"P39016","Q04432"
"P39016","P06115"
"P39016","P25364"
"P39016","P38816"
"P39016","Q03214"
"P39016","Q02100"
"P39016","P27466"
"P39016","P32505"
"P39016","P32485"
"P39016","P13393"
"P39016","P53849"
"P39016","P35169"
"P39016","Q03533"
"P39016","P22035"
"P39016","P34161"
"P39016","P48361"
"P39016","P39001"
"P39016","P47137"
"P39016","P38889"
"P39016","P38699"
"P39016","Q12172"
"P39016","P32642"
"P39016","P53968"
"P39016","Q05515"
"P39016","P38636"
"P39016","P17106"
"P39016","P07270"
"P39016","P33122"
"P39016","Q07824"
"P39016","P53438"
"P39016","P19880"
"P39016","P53879"
"P39016","P32561"
"P39016","Q01722"
"P39016","P31384"
"P39016","P41546"
"P39517","P31384"
"P39517","Q12221"
"P39517","P35169"
"P39517","P40029"
"P39517","P38720"
"P39517","P11792"
"P39517","P00447"
"P39517","P11412"
"P39517","P53615"
"P39517","P40581"
"P39517","P36148"
"P39517","P38934"
"P39517","Q08649"
"P39517","P00445"
"P39517","P36077"
"P39517","P47140"
"P39517","P32477"
"P39517","P38143"
"P39517","P38144"
"P39517","P38068"
"P39517","P15202"
"P39517","Q05515"
"P39517","P29509"
"P39517","P33200"
"P39517","P36775"
"P39517","P31378"
"P39517","Q04002"
"P39517","P32432"
"P39517","Q12329"
"P39517","Q12154"
"P39517","P32339"
"P39517","Q06151"
"P39517","P23542"
"P39517","P32915"
"P39517","P38623"
"P39517","P22943"
"P39517","P13902"
"P39517","P26798"
"P39517","P11746"
"P39517","P53879"
"P39517","P06774"
"P39517","P33122"
"P39517","P25372"
"P39517","P40573"
"P39517","Q04925"
"P39517","P53165"
"P39517","P18412"
"P39517","Q07540"
"P39517","P18494"
"P39517","P34161"
"P39517","P39521"
"P39517","P40917"
"P39517","P33749"
"P39517","P19880"
"P39517","Q12172"
"P39517","P53438"
"P39517","P25364"
"P39517","P40535"
"P39517","P22149"
"P39517","P41813"
"P39517","P07270"
"P39517","P22035"
"P39517","P24814"
"P39517","P07269"
"P39517","P46683"
"P39517","P34078"
"P39517","P39943"
"P39517","P43574"
"P39517","P39001"
"P39517","Q01722"
"P39517","Q02100"
"P39517","P12383"
"P39517","P17106"
"P39517","P14064"
"P39517","P53968"
"P39517","Q06630"
"P39517","P14164"
"P39517","P53290"
"P39517","P40578"
"P39517","P36152"
"P39517","P47170"
"P39517","P23833"
"P39517","Q03465"
"P39517","P29055"
"P39517","Q07824"
"P39517","P36060"
"P39517","P13574"
"P39517","P25302"
"P39517","P32561"
"P39517","Q03330"
"P39517","P32642"
"P39517","P27466"
"P39517","P38827"
"P39517","P32485"
"P39517","P38636"
"P39517","P21538"
"P39517","P33417"
"P39517","Q02784"
"P39517","Q12055"
"P39517","Q00582"
"P39517","P33400"
"P39517","P10961"
"P39517","Q03081"
"P39517","P40554"
"P39517","Q03497"
"P39517","P20604"
"P39517","P35210"
"P39517","P41546"
"P39517","Q08749"
"P39517","P13393"
"P39517","Q12181"
"P39517","P40466"
"P39517","P22517"
"P39517","P38820"
"P39517","P38816"
"P39517","P38874"
"P39517","P48361"
"P39517","P39676"
"P39517","Q07807"
"P39517","P34760"
"P39517","Q03533"
"P39517","P40150"
"P39517","P15108"
"P39517","P12611"
"P39517","P07261"
"P39517","P10080"
"P39517","P00431"
"P39517","P38013"
"P39517","P38205"
"P39517","P03069"
"P39517","P39016"
"P39517","P53849"
"P15108","P29055"
"P15108","P36060"
"P15108","P39016"
"P15108","P38934"
"P15108","P33417"
"P15108","P00431"
"P15108","P40150"
"P15108","Q07807"
"P15108","P10080"
"P15108","P39517"
"P15108","Q03330"
"P15108","P32505"
"P15108","P53165"
"P15108","P13393"
"P15108","P38889"
"P15108","P38874"
"P15108","P40029"
"P15108","Q03081"
"P15108","Q12221"
"P15108","P53978"
"P15108","Q02784"
"P15108","P11412"
"P15108","P53879"
"P15108","P40535"
"P15108","P54783"
"P15108","P12611"
"P15108","P40573"
"P15108","P35169"
"P15108","P22035"
"P15108","P47140"
"P15108","P36148"
"P15108","P47141"
"P15108","P33749"
"P15108","P36152"
"P15108","P53290"
"P15108","P10961"
"P15108","P32477"
