"id1","id2"
"P36775","P19880"
"Q04925","P0CX81"
"Q04925","Q03214"
"Q04925","P19880"
"Q04925","P38889"
"Q04925","P0CX80"
"P0CX81","P53879"
"P0CX81","Q05515"
"P0CX81","P12611"
"P0CX81","P19880"
"P0CX81","P38720"
"P0CX81","P38143"
"P0CX81","P41921"
"P0CX81","Q12172"
"P0CX81","P38699"
"P0CX81","P25364"
"Q00582","Q12172"
"Q00582","P19880"
"Q00582","P38889"
"Q06151","P19880"
"Q12172","Q12172"
"Q12172","Q07551"
"Q12172","Q12123"
"Q12172","P20604"
"Q12172","P22517"
"Q12172","P43565"
"Q12172","P53879"
"Q12172","Q04432"
"Q12172","P53615"
"Q12172","P11412"
"Q12172","P06115"
"Q12172","P32642"
"Q12172","Q03533"
"Q12172","Q07824"
"Q12172","P12611"
"Q12172","P00447"
"Q12172","P38636"
"Q12172","P46683"
"Q12172","Q04792"
"Q12172","P22943"
"Q12172","P19880"
"Q12172","P53214"
"Q12172","P34227"
"Q12172","P53228"
"Q12172","P23542"
"Q12172","P38143"
"Q12172","P39676"
"Q12172","P36088"
"Q12172","P40581"
"Q12172","P0CX80"
"Q12172","Q12154"
"Q12172","P25373"
"Q12172","Q06892"
"Q07551","Q03214"
"Q07551","P19880"
"Q07551","P38889"
"Q12458","P19880"
"P00445","Q03214"
"P00445","P19880"
"P00445","P38889"
"P00445","P25364"
"Q12123","P19880"
"Q12123","P38699"
"P20604","Q03214"
"P20604","P19880"
"P20604","P38699"
"Q12438","P19880"
"Q03214","P43565"
"Q03214","P31378"
"Q03214","P53615"
"Q03214","P11412"
"Q03214","P06115"
"Q03214","Q03533"
"Q03214","Q07824"
"Q03214","P00447"
"Q03214","P46683"
"Q03214","P22943"
"Q03214","P19880"
"Q03214","P34227"
"Q03214","P53228"
"Q03214","P38889"
"Q03214","P47140"
"Q03214","P39676"
"Q03214","P25364"
"Q03214","Q05948"
"P22517","P19880"
"P43565","P19880"
"Q07923","P19880"
"P53879","P19880"
"P53879","P0CX80"
"Q04432","P19880"
"P31378","P19880"
"Q96VH4","P19880"
"P53290","P19880"
"P47137","P19880"
"P47137","P38889"
"Q05515","P19880"
"Q05515","P38699"
"Q05515","P0CX80"
"P53615","P19880"
"P11412","P19880"
"P11412","P38699"
"P11412","P38889"
"P06115","P19880"
"P06115","P38889"
"P06115","P25364"
"P32642","P19880"
"P34078","P19880"
"P34078","P38699"
"P34078","P38889"
"Q03533","P19880"
"Q03533","P38699"
"Q07824","P19880"
"Q07824","P38889"
"P38230","P19880"
"P38230","P38889"
"P12611","P19880"
"P12611","P0CX80"
"P12611","P25364"
"P37261","P19880"
"P24814","P19880"
"P38345","P19880"
"P00447","P19880"
"P00447","P38889"
"P00447","P25364"
"P38636","P19880"
"P38636","P38889"
"P46683","P19880"
"Q04792","P19880"
"Q04792","P25364"
"P38205","P19880"
"P38205","P38699"
"P34220","P19880"
"P38816","P19880"
"P38816","P25364"
"P22943","P19880"
"P22943","P38699"
"P22943","P38889"
"P22943","P25364"
"P19880","P19880"
"P19880","P29509"
"P19880","P53214"
"P19880","Q12108"
"P19880","Q08952"
"P19880","P36014"
"P19880","P38699"
"P19880","Q08749"
"P19880","P34227"
"P19880","Q12181"
"P19880","P53228"
"P19880","P38889"
"P19880","P38720"
"P19880","P52923"
"P19880","P47140"
"P19880","P23542"
"P19880","P38143"
"P19880","P41921"
"P19880","P39676"
"P19880","P36088"
"P19880","P40581"
"P19880","P0CX80"
"P19880","Q12154"
"P19880","P25364"
"P19880","P17695"
"P19880","Q05948"
"P19880","P25373"
"P19880","P25372"
"P19880","Q06892"
"P19880","P27882"
"P29509","P38889"
"P53214","P38889"
"P38699","P38699"
"P38699","P38720"
"P38699","P52923"
"P38699","P23542"
"P38699","P38143"
"P38699","P0CX80"
"P34227","P38889"
"P53228","P38889"
"P38889","P38889"
"P38889","P38720"
"P38889","P23542"
"P38889","P38143"
"P38889","P39676"
"P38889","Q12154"
"P38720","P0CX80"
"P38143","P0CX80"
"P41921","P0CX80"
"P36088","P25364"
"P0CX80","P25364"
