Graphlet	Count	Tally	Significance
((0, 1), (0, 1), (1, 1))	3	1000	1.0
((0, 1), (0, 3), (1, 2))	12	1000	1.0
((0, 1), (0, 2), (1, 3))	29	236	0.236
((0, 2), (0, 2), (3, 3))	42	1000	1.0
((0, 3), (0, 3), (2, 2))	633	0	0.0
((0, 2), (0, 3), (2, 3))	41	1000	1.0
((1, 1), (1, 1), (1, 1))	2	5	0.005
((1, 1), (1, 2), (1, 3))	2	97	0.097
((1, 2), (1, 2), (3, 3))	2	581	0.581
((1, 2), (1, 3), (2, 3))	1	962	0.962
((1, 3), (1, 3), (2, 2))	8	7	0.007
((2, 2), (2, 3), (3, 3))	35	1000	1.0
