"id1","id2"
"FBgn0266599","FBgn0001216"
"FBgn0266599","FBgn0034658"
"FBgn0266599","FBgn0036820"
"FBgn0266599","FBgn0003731"
"FBgn0266599","FBgn0034802"
"FBgn0266599","FBgn0004907"
"FBgn0266599","FBgn0010379"
"FBgn0266599","FBgn0000108"
"FBgn0266599","FBgn0003165"
"FBgn0266599","FBgn0264922"
"FBgn0266599","FBgn0003360"
"FBgn0266599","FBgn0041100"
"FBgn0266599","FBgn0000229"
"FBgn0266599","FBgn0020653"
"FBgn0266599","FBgn0003943"
"FBgn0266599","FBgn0052479"
"FBgn0266599","FBgn0003462"
"FBgn0266599","FBgn0037170"
"FBgn0266599","FBgn0028694"
"FBgn0266599","FBgn0086558"
"FBgn0266599","FBgn0283472"
"FBgn0266599","FBgn0015269"
"FBgn0266599","FBgn0031885"
"FBgn0266599","FBgn0005777"
"FBgn0266599","FBgn0028471"
"FBgn0266599","FBgn0001233"
"FBgn0086558","FBgn0037170"
"FBgn0086558","FBgn0020653"
"FBgn0086558","FBgn0040070"
"FBgn0086558","FBgn0003462"
"FBgn0086558","FBgn0037873"
"FBgn0086558","FBgn0283472"
"FBgn0086558","FBgn0028694"
"FBgn0086558","FBgn0003205"
"FBgn0086558","FBgn0038570"
"FBgn0086558","FBgn0005777"
"FBgn0086558","FBgn0035438"
"FBgn0086558","FBgn0032813"
"FBgn0086558","FBgn0005655"
"FBgn0086558","FBgn0015269"
"FBgn0086558","FBgn0028471"
"FBgn0086558","FBgn0051216"
"FBgn0086558","FBgn0024329"
"FBgn0086558","FBgn0036892"
"FBgn0086558","FBgn0040308"
"FBgn0086558","FBgn0040309"
"FBgn0086558","FBgn0001248"
"FBgn0086558","FBgn0001233"
"FBgn0086558","FBgn0266599"
"FBgn0086558","FBgn0001216"
"FBgn0086558","FBgn0034658"
"FBgn0086558","FBgn0036820"
"FBgn0086558","FBgn0004432"
"FBgn0086558","FBgn0000261"
"FBgn0086558","FBgn0032210"
"FBgn0086558","FBgn0034802"
"FBgn0086558","FBgn0032061"
"FBgn0086558","FBgn0036490"
"FBgn0086558","FBgn0031589"
"FBgn0086558","FBgn0034415"
"FBgn0086558","FBgn0034110"
"FBgn0086558","FBgn0264325"
"FBgn0086558","FBgn0032935"
"FBgn0086558","FBgn0264922"
"FBgn0086558","FBgn0003165"
"FBgn0086558","FBgn0003360"
"FBgn0086558","FBgn0015765"
"FBgn0086558","FBgn0003321"
"FBgn0086558","FBgn0003256"
"FBgn0086558","FBgn0005626"
"FBgn0086558","FBgn0024846"
"FBgn0086558","FBgn0000173"
"FBgn0086558","FBgn0003943"
"FBgn0086558","FBgn0052479"
"FBgn0051216","FBgn0028471"
"FBgn0051216","FBgn0003943"
"FBgn0051216","FBgn0026761"
"FBgn0051216","FBgn0264922"
"FBgn0051216","FBgn0086558"
"FBgn0051216","FBgn0003165"
"FBgn0051216","FBgn0028694"
"FBgn0001216","FBgn0034658"
