Graphlet	Count	Tally	Significance
((0, 1), (0, 1), (1, 1))	11269	1000	1.0
((0, 1), (0, 4), (1, 5))	165	892	0.892
((0, 1), (0, 5), (1, 4))	188	1000	1.0
((0, 4), (0, 4), (5, 5))	5	816	0.816
((0, 5), (0, 5), (4, 4))	3	1000	1.0
((0, 4), (0, 5), (4, 5))	12	366	0.366
((0, 1), (0, 7), (1, 7))	228	633	0.633
((0, 5), (0, 7), (4, 7))	7	1000	1.0
((0, 4), (0, 7), (5, 7))	12	971	0.971
((0, 7), (0, 7), (7, 7))	3	999	0.999
((0, 1), (0, 3), (1, 2))	708	1000	1.0
((0, 1), (0, 2), (1, 3))	971	0	0.0
((0, 1), (0, 6), (1, 6))	199	967	0.967
((0, 2), (0, 4), (3, 5))	83	0	0.0
((0, 2), (0, 5), (3, 4))	31	0	0.0
((0, 3), (0, 5), (2, 4))	27	1000	1.0
((0, 3), (0, 4), (2, 5))	21	1000	1.0
((0, 4), (0, 6), (5, 6))	13	0	0.0
((0, 5), (0, 6), (4, 6))	7	1000	1.0
((0, 3), (0, 7), (2, 7))	44	1000	1.0
((0, 2), (0, 7), (3, 7))	76	0	0.0
((0, 6), (0, 7), (6, 7))	19	761	0.761
((0, 2), (0, 2), (3, 3))	204	0	0.0
((0, 3), (0, 3), (2, 2))	176	1000	1.0
((0, 2), (0, 3), (2, 3))	161	1000	1.0
((0, 3), (0, 6), (2, 6))	75	1000	1.0
((0, 2), (0, 6), (3, 6))	117	0	0.0
((0, 6), (0, 6), (6, 6))	9	750	0.75
((1, 1), (1, 1), (1, 1))	1399	0	0.0
((1, 1), (1, 4), (1, 5))	100	3	0.003
((1, 4), (1, 4), (5, 5))	3	61	0.061
((1, 5), (1, 5), (4, 4))	1	566	0.566
((1, 4), (1, 5), (4, 5))	1	930	0.93
((4, 4), (4, 5), (5, 5))	1	752	0.752
((1, 1), (1, 7), (1, 7))	32	813	0.813
((1, 5), (1, 7), (4, 7))	1	913	0.913
((1, 4), (1, 7), (5, 7))	12	0	0.0
((1, 7), (1, 7), (7, 7))	3	18	0.018
((4, 4), (5, 7), (5, 7))	3	286	0.286
((4, 5), (4, 7), (5, 7))	2	219	0.219
((4, 7), (5, 7), (7, 7))	2	515	0.515
((7, 7), (7, 7), (7, 7))	1	684	0.684
((1, 1), (1, 2), (1, 3))	198	139	0.139
((1, 2), (1, 4), (3, 5))	9	5	0.005
((1, 2), (1, 5), (3, 4))	3	255	0.255
((1, 3), (1, 4), (2, 5))	3	953	0.953
((1, 3), (1, 5), (2, 4))	1	995	0.995
((2, 5), (3, 5), (4, 4))	3	52	0.052
((2, 4), (3, 4), (5, 5))	1	615	0.615
((2, 4), (3, 5), (4, 5))	1	826	0.826
((1, 1), (1, 6), (1, 6))	31	40	0.04
((1, 4), (1, 6), (5, 6))	1	605	0.605
((1, 5), (1, 6), (4, 6))	1	443	0.443
((1, 6), (1, 7), (6, 7))	1	638	0.638
((4, 7), (5, 6), (6, 7))	1	647	0.647
((6, 7), (6, 7), (7, 7))	1	589	0.589
((1, 3), (1, 7), (2, 7))	4	944	0.944
((1, 2), (1, 7), (3, 7))	6	112	0.112
((2, 5), (3, 7), (4, 7))	1	789	0.789
((2, 7), (3, 4), (5, 7))	1	404	0.404
((2, 7), (3, 5), (4, 7))	3	326	0.326
((2, 4), (3, 7), (5, 7))	3	345	0.345
((2, 7), (3, 7), (7, 7))	3	317	0.317
((1, 2), (1, 2), (3, 3))	12	106	0.106
((1, 2), (1, 3), (2, 3))	8	930	0.93
((1, 3), (1, 3), (2, 2))	7	895	0.895
((1, 2), (1, 6), (3, 6))	8	95	0.095
((1, 3), (1, 6), (2, 6))	1	992	0.992
((1, 6), (1, 6), (6, 6))	1	567	0.567
((2, 4), (2, 5), (3, 3))	8	173	0.173
((2, 2), (3, 4), (3, 5))	2	736	0.736
((2, 3), (2, 4), (3, 5))	2	783	0.783
((2, 4), (3, 6), (5, 6))	3	44	0.044
((2, 7), (2, 7), (3, 3))	4	864	0.864
((2, 3), (2, 7), (3, 7))	4	726	0.726
((2, 2), (3, 7), (3, 7))	19	0	0.0
((2, 7), (3, 6), (6, 7))	3	647	0.647
((6, 6), (6, 7), (6, 7))	3	234	0.234
((2, 3), (2, 3), (2, 3))	2	437	0.437
((2, 2), (2, 3), (3, 3))	23	351	0.351
((2, 3), (2, 6), (3, 6))	3	947	0.947
((2, 2), (3, 6), (3, 6))	10	131	0.131
((2, 6), (2, 6), (3, 3))	4	397	0.397
((2, 6), (3, 6), (6, 6))	2	792	0.792
