"id1","id2"
"FBgn0086361","FBgn0003205"
"FBgn0038570","FBgn0038519"
"FBgn0027864","FBgn0010213"
"FBgn0038402","FBgn0038197"
"FBgn0038402","FBgn0041100"
"FBgn0033885","FBgn0029891"
"FBgn0033885","FBgn0003205"
"FBgn0260747","FBgn0041100"
"FBgn0260747","FBgn0029891"
"FBgn0261862","FBgn0038197"
"FBgn0261862","FBgn0000229"
"FBgn0003068","FBgn0024846"
"FBgn0013576","FBgn0028471"
"FBgn0038436","FBgn0038435"
"FBgn0000422","FBgn0005626"
"FBgn0003301","FBgn0010051"
"FBgn0031820","FBgn0039802"
"FBgn0038511","FBgn0283531"
"FBgn0038465","FBgn0283531"
"FBgn0086711","FBgn0260789"
"FBgn0037248","FBgn0283472"
"FBgn0037248","FBgn0283499"
"FBgn0037248","FBgn0004647"
"FBgn0037248","FBgn0015279"
"FBgn0037248","FBgn0041100"
"FBgn0037248","FBgn0029891"
"FBgn0037248","FBgn0038197"
"FBgn0037248","FBgn0003360"
"FBgn0003495","FBgn0003731"
"FBgn0040305","FBgn0041100"
"FBgn0283531","FBgn0260789"
"FBgn0283531","FBgn0029891"
"FBgn0283531","FBgn0015765"
"FBgn0283531","FBgn0024329"
"FBgn0283531","FBgn0038465"
"FBgn0038435","FBgn0038436"
"FBgn0030872","FBgn0260747"
"FBgn0030872","FBgn0041100"
"FBgn0030872","FBgn0029891"
"FBgn0033799","FBgn0030092"
