(((0, 1), (0, 1), (1, 1)), 0), Orbit 0 : 0
(((0, 1), (0, 1), (1, 1)), 1), Orbit 1 : 1
(((0, 1), (0, 3), (1, 2)), 0), Orbit 0 : 26
(((0, 1), (0, 3), (1, 2)), 1), Orbit 1 : 27
(((0, 1), (0, 3), (1, 2)), 2), Orbit 2 : 28
(((0, 1), (0, 2), (1, 3)), 0), Orbit 0 : 29
(((0, 1), (0, 2), (1, 3)), 1), Orbit 1 : 30
(((0, 1), (0, 2), (1, 3)), 2), Orbit 2 : 31
(((0, 2), (0, 2), (3, 3)), 0), Orbit 0 : 62
(((0, 2), (0, 2), (3, 3)), 1), Orbit 1 : 63
(((0, 3), (0, 3), (2, 2)), 0), Orbit 0 : 64
(((0, 3), (0, 3), (2, 2)), 1), Orbit 1 : 65
(((0, 2), (0, 3), (2, 3)), 0), Orbit 0 : 66
(((0, 2), (0, 3), (2, 3)), 1), Orbit 1 : 67
(((0, 2), (0, 3), (2, 3)), 2), Orbit 2 : 68
(((1, 1), (1, 1), (1, 1)), 0), Orbit 0 : 77
(((1, 1), (1, 2), (1, 3)), 0), Orbit 0 : 113
(((1, 1), (1, 2), (1, 3)), 1), Orbit 1 : 114
(((1, 1), (1, 2), (1, 3)), 2), Orbit 2 : 115
(((1, 2), (1, 2), (3, 3)), 0), Orbit 0 : 187
(((1, 2), (1, 2), (3, 3)), 1), Orbit 1 : 188
(((1, 2), (1, 3), (2, 3)), 0), Orbit 0 : 189
(((1, 2), (1, 3), (2, 3)), 1), Orbit 1 : 190
(((1, 2), (1, 3), (2, 3)), 2), Orbit 2 : 191
(((1, 3), (1, 3), (2, 2)), 0), Orbit 0 : 192
(((1, 3), (1, 3), (2, 2)), 1), Orbit 1 : 193
(((2, 2), (2, 3), (3, 3)), 0), Orbit 0 : 245
(((2, 2), (2, 3), (3, 3)), 1), Orbit 1 : 246
(((2, 2), (2, 3), (3, 3)), 2), Orbit 2 : 247
