Graphlet,Enrichment,Z,p_value
"((1, 2), (1, 3), (2, 3))",238.9326599326599,15.392753009527329,1.8307436548383918e-53
"((1, 1), (1, 2), (1, 3))",3.505124595589143,1.8923113689806768,0.058449507053663176
"((0, 2), (0, 2), (3, 3))",3.4639874757237545,8.57975693912666,9.50738236762338e-18
"((2, 2), (2, 3), (3, 3))",2.6447321624424722,5.983266661913604,2.187062677737843e-09
"((0, 2), (0, 3), (2, 3))",1.6027003965598063,3.0483668725961204,0.0023008883529429653
"((1, 2), (1, 2), (3, 3))",1.246605182257356,0.3123580713633292,0.7547684115169258
"((1, 3), (1, 3), (2, 2))",0.38375050782197934,-2.81369543715326,0.004897560528065443
"((0, 1), (0, 2), (1, 3))",0.2586848863713356,-7.849036080362383,4.1924700489452386e-15
"((0, 1), (0, 3), (1, 2))",0.042755408103030385,-16.03681120128519,7.069213741156161e-58
"((0, 3), (0, 3), (2, 2))",0.00690755924896184,-300.62785751447507,0.0
"((1, 1), (1, 1), (1, 1))",0.0044879253917740735,-21.015451047245016,4.737203133588462e-98
"((0, 1), (0, 1), (1, 1))",0.0024102637571638288,-35.1949469078897,2.389099986436138e-271
