Q1ENI8
O01658
Q9N2W7
O02621
Q968Y9
Q21029
Q9N363
Q95XX1
G5EC23
B7WN96
P41956
Q8MQ70
P90820
Q9TZM3
Q20561
D0VWM8
O16228
Q21824
A0A0K3AUJ9
P34707
Q21219
G5EFF4
G5EDF7
Q9GN62
G5EFQ5
Q20616
G5EG78
Q94125
P90994
O62255
Q9U2X0
O61235
Q27487
Q23490
Q4W4Z2
O16850
A5JYX5
Q17446
Q21653
P50093
Q9BKU4
P34436
O61213
P90925
Q95QN6
Q95QV8
Q95003
O01519
Q20646
O62327
Q95XG8
P34345
