Q07540, 0
P39676, 1
P00447, 2
P00445, 3
Q12329, 4
P38013, 5
P36060, 6
P38623, 7
P38820, 8
P54783, 9
P38715, 10
P40581, 11
Q08749, 12
P53879, 13
P32485, 14
P40554, 15
P34760, 16
P40202, 17
P33748, 18
P32561, 19
P11792, 20
P48361, 21
P22517, 22
P43565, 23
Q04120, 24
P40553, 25
P27466, 26
P34220, 27
P34227, 28
P32642, 29
P36152, 30
Q07824, 31
P38072, 32
P23833, 33
Q02784, 34
P53127, 35
Q03214, 36
P38889, 37
P47170, 38
Q00582, 39
P53978, 40
P38720, 41
P14065, 42
P33749, 43
P35169, 44
P25364, 45
P36077, 46
Q12055, 47
P00431, 48
P38230, 49
P19880, 50
P40029, 51
P38068, 52
Q12154, 53
Q12181, 54
P53290, 55
Q06630, 56
P36775, 57
P20604, 58
P34078, 59
P29509, 60
Q06151, 61
Q12123, 62
P53169, 63
P38315, 64
P46683, 65
P38816, 66
P25372, 67
P17695, 68
P0CX81, 69
P0CX80, 70
Q12172, 71
P38699, 72
P32477, 73
P89113, 74
P47141, 75
P31378, 76
P22943, 77
P47140, 78
Q03497, 79
Q01476, 80
P38067, 81
P33751, 82
P32339, 83
P15202, 84
P32317, 85
Q04925, 86
Q07551, 87
Q12438, 88
Q04432, 89
Q96VH4, 90
P47137, 91
Q05515, 92
P53615, 93
P11412, 94
P06115, 95
Q03533, 96
P12611, 97
P38636, 98
Q04792, 99
P53214, 100
Q08952, 101
P36014, 102
P53228, 103
P23542, 104
P38143, 105
Q05948, 106
P25373, 107
P53938, 108
Q07527, 109
P52923, 110
P25566, 111
P50946, 112
P41921, 113
P36088, 114
Q06892, 115
Q12458, 116
Q07923, 117
P37261, 118
P24814, 119
P38345, 120
P38205, 121
Q12108, 122
P27882, 123
