orbit	id	count
 (((0, 5), (0, 7), (4, 7)), 0), Orbit 0	18	2535
 (((0, 5), (0, 7), (4, 7)), 1), Orbit 1	19	2535
 (((0, 5), (0, 7), (4, 7)), 2), Orbit 2	20	2535
 (((0, 7), (0, 7), (7, 7)), 0), Orbit 0	24	2174
 (((1, 2), (1, 3), (2, 3)), 0), Orbit 0	189	2045
 (((1, 2), (1, 3), (2, 3)), 1), Orbit 1	190	2045
 (((1, 2), (1, 3), (2, 3)), 2), Orbit 2	191	2045
 (((0, 5), (0, 5), (4, 4)), 1), Orbit 1	11	1983
 (((2, 2), (3, 6), (3, 6)), 1), Orbit 1	252	1854
 (((2, 7), (2, 7), (3, 3)), 0), Orbit 0	229	1636
 (((1, 2), (1, 4), (3, 5)), 0), Orbit 0	116	1604
 (((1, 2), (1, 4), (3, 5)), 1), Orbit 1	117	1604
 (((1, 2), (1, 4), (3, 5)), 2), Orbit 2	118	1604
 (((2, 2), (3, 7), (3, 7)), 1), Orbit 1	235	1520
 (((2, 6), (2, 6), (3, 3)), 0), Orbit 0	253	1368
 (((1, 3), (1, 3), (2, 2)), 1), Orbit 1	193	1305
 (((1, 4), (1, 4), (5, 5)), 0), Orbit 0	81	1200
 (((2, 4), (2, 5), (3, 3)), 0), Orbit 0	202	1178
 (((2, 4), (2, 5), (3, 3)), 1), Orbit 1	203	1178
 (((2, 4), (2, 5), (3, 3)), 2), Orbit 2	204	1178
 (((0, 7), (0, 7), (7, 7)), 1), Orbit 1	25	1087
 (((1, 2), (1, 6), (3, 6)), 0), Orbit 0	194	1029
 (((1, 2), (1, 6), (3, 6)), 1), Orbit 1	195	1029
 (((1, 2), (1, 6), (3, 6)), 2), Orbit 2	196	1029
 (((2, 2), (3, 6), (3, 6)), 0), Orbit 0	251	927
 (((2, 2), (3, 4), (3, 5)), 0), Orbit 0	205	895
 (((2, 2), (3, 4), (3, 5)), 1), Orbit 1	206	895
 (((2, 2), (3, 4), (3, 5)), 2), Orbit 2	207	895
 (((2, 3), (2, 3), (2, 3)), 0), Orbit 0	244	882
 (((2, 7), (2, 7), (3, 3)), 1), Orbit 1	230	818
 (((2, 2), (3, 7), (3, 7)), 0), Orbit 0	234	760
 (((1, 2), (1, 7), (3, 7)), 0), Orbit 0	169	691
 (((1, 2), (1, 7), (3, 7)), 1), Orbit 1	170	691
 (((1, 2), (1, 7), (3, 7)), 2), Orbit 2	171	691
 (((2, 6), (2, 6), (3, 3)), 1), Orbit 1	254	684
 (((1, 3), (1, 5), (2, 4)), 0), Orbit 0	125	635
 (((1, 3), (1, 5), (2, 4)), 1), Orbit 1	126	635
 (((1, 3), (1, 5), (2, 4)), 2), Orbit 2	127	635
 (((1, 2), (1, 5), (3, 4)), 0), Orbit 0	119	629
 (((1, 2), (1, 5), (3, 4)), 1), Orbit 1	120	629
 (((1, 2), (1, 5), (3, 4)), 2), Orbit 2	121	629
 (((1, 3), (1, 4), (2, 5)), 0), Orbit 0	122	625
 (((1, 3), (1, 4), (2, 5)), 1), Orbit 1	123	625
 (((1, 3), (1, 4), (2, 5)), 2), Orbit 2	124	625
 (((1, 4), (1, 4), (5, 5)), 1), Orbit 1	82	600
 (((1, 3), (1, 6), (2, 6)), 0), Orbit 0	197	581
 (((1, 3), (1, 6), (2, 6)), 1), Orbit 1	198	581
 (((1, 3), (1, 6), (2, 6)), 2), Orbit 2	199	581
 (((1, 4), (1, 7), (5, 7)), 0), Orbit 0	97	549
 (((1, 4), (1, 7), (5, 7)), 1), Orbit 1	98	549
 (((1, 4), (1, 7), (5, 7)), 2), Orbit 2	99	549
 (((2, 3), (2, 4), (3, 5)), 0), Orbit 0	208	520
 (((2, 3), (2, 4), (3, 5)), 1), Orbit 1	209	520
 (((2, 3), (2, 4), (3, 5)), 2), Orbit 2	210	520
 (((1, 5), (1, 5), (4, 4)), 0), Orbit 0	83	504
 (((2, 3), (2, 6), (3, 6)), 0), Orbit 0	248	479
 (((2, 3), (2, 6), (3, 6)), 1), Orbit 1	249	479
 (((2, 3), (2, 6), (3, 6)), 2), Orbit 2	250	479
 (((1, 3), (1, 7), (2, 7)), 0), Orbit 0	166	456
 (((1, 3), (1, 7), (2, 7)), 1), Orbit 1	167	456
 (((1, 3), (1, 7), (2, 7)), 2), Orbit 2	168	456
 (((1, 4), (1, 5), (4, 5)), 0), Orbit 0	85	421
 (((1, 4), (1, 5), (4, 5)), 1), Orbit 1	86	421
 (((1, 4), (1, 5), (4, 5)), 2), Orbit 2	87	421
 (((2, 6), (3, 6), (6, 6)), 0), Orbit 0	255	381
 (((2, 6), (3, 6), (6, 6)), 1), Orbit 1	256	381
 (((2, 6), (3, 6), (6, 6)), 2), Orbit 2	257	381
 (((1, 4), (1, 6), (5, 6)), 0), Orbit 0	142	360
 (((1, 4), (1, 6), (5, 6)), 1), Orbit 1	143	360
 (((1, 4), (1, 6), (5, 6)), 2), Orbit 2	144	360
 (((1, 5), (1, 7), (4, 7)), 0), Orbit 0	94	345
 (((1, 5), (1, 7), (4, 7)), 1), Orbit 1	95	345
 (((1, 5), (1, 7), (4, 7)), 2), Orbit 2	96	345
 (((2, 3), (2, 7), (3, 7)), 0), Orbit 0	231	335
 (((2, 3), (2, 7), (3, 7)), 1), Orbit 1	232	335
