4167195447381529914 : (((1, 2), (1, 5), (3, 4)), 1), Orbit 1
-7771907870226023277 : (((1, 2), (1, 5), (3, 4)), 2), Orbit 2
163721112953436391 : (((1, 3), (1, 5), (2, 4)), 0), Orbit 0
-4729352916019259975 : (((1, 3), (1, 5), (2, 4)), 1), Orbit 1
-2620069542901629678 : (((1, 3), (1, 5), (2, 4)), 2), Orbit 2
7840238755437739772 : (((2, 4), (3, 4), (5, 5)), 0), Orbit 0
2947164726465043406 : (((2, 4), (3, 4), (5, 5)), 1), Orbit 1
5056448099582673703 : (((2, 4), (3, 4), (5, 5)), 2), Orbit 2
8403338188299838660 : (((2, 4), (3, 5), (4, 5)), 0), Orbit 0
3510264159327142294 : (((2, 4), (3, 5), (4, 5)), 1), Orbit 1
5619547532444772591 : (((2, 4), (3, 5), (4, 5)), 2), Orbit 2
-1475446587703717692 : (((1, 1), (1, 6), (1, 6)), 0), Orbit 0
5032194168398280733 : (((1, 1), (1, 6), (1, 6)), 1), Orbit 1
7231673408860682410 : (((1, 5), (1, 6), (4, 6)), 0), Orbit 0
2338599379887986044 : (((1, 5), (1, 6), (4, 6)), 1), Orbit 1
8846240135989984469 : (((1, 5), (1, 6), (4, 6)), 2), Orbit 2
846665916430193677 : (((4, 6), (4, 6), (5, 5)), 0), Orbit 0
7354306672532192102 : (((4, 6), (4, 6), (5, 5)), 1), Orbit 1
-6070128791793253944 : (((1, 3), (1, 7), (2, 7)), 0), Orbit 0
437511964308744481 : (((1, 3), (1, 7), (2, 7)), 1), Orbit 1
-8853919447648320013 : (((1, 3), (1, 7), (2, 7)), 2), Orbit 2
1693384303464805042 : (((2, 7), (3, 5), (4, 7)), 0), Orbit 0
-3199689725507891324 : (((2, 7), (3, 5), (4, 7)), 1), Orbit 1
-1090406352390261027 : (((2, 7), (3, 5), (4, 7)), 2), Orbit 2
302566175365152312 : (((1, 2), (1, 2), (3, 3)), 0), Orbit 0
-8988865236591912182 : (((1, 2), (1, 2), (3, 3)), 1), Orbit 1
-322367766158111142 : (((1, 2), (1, 3), (2, 3)), 0), Orbit 0
6185272989943887283 : (((1, 2), (1, 3), (2, 3)), 1), Orbit 1
-3106158422013177211 : (((1, 2), (1, 3), (2, 3)), 2), Orbit 2
8577341317401127930 : (((1, 3), (1, 3), (2, 2)), 0), Orbit 0
3684267288428431564 : (((1, 3), (1, 3), (2, 2)), 1), Orbit 1
3530001765236040492 : (((1, 3), (1, 6), (2, 6)), 0), Orbit 0
-1363072263736655874 : (((1, 3), (1, 6), (2, 6)), 1), Orbit 1
5144568492365342551 : (((1, 3), (1, 6), (2, 6)), 2), Orbit 2
-2524541181329191942 : (((2, 4), (2, 5), (3, 3)), 0), Orbit 0
3983099574772806483 : (((2, 4), (2, 5), (3, 3)), 1), Orbit 1
-909974454199889883 : (((2, 4), (2, 5), (3, 3)), 2), Orbit 2
-677406214723704918 : (((2, 2), (3, 4), (3, 5)), 0), Orbit 0
5830234541378293507 : (((2, 2), (3, 4), (3, 5)), 1), Orbit 1
-3461196870578770987 : (((2, 2), (3, 4), (3, 5)), 2), Orbit 2
-3027809080627916097 : (((2, 3), (2, 4), (3, 5)), 0), Orbit 0
3479831675474082328 : (((2, 3), (2, 4), (3, 5)), 1), Orbit 1
-8459271642133470863 : (((2, 3), (2, 4), (3, 5)), 2), Orbit 2
3278568971157025957 : (((2, 6), (3, 5), (4, 6)), 0), Orbit 0
-1614505057815670409 : (((2, 6), (3, 5), (4, 6)), 1), Orbit 1
494778315301959888 : (((2, 6), (3, 5), (4, 6)), 2), Orbit 2
-4003980167046016851 : (((2, 7), (2, 7), (3, 3)), 0), Orbit 0
2503660589055981574 : (((2, 7), (2, 7), (3, 3)), 1), Orbit 1
-8499483912721647655 : (((2, 2), (3, 7), (3, 7)), 0), Orbit 0
-1991843156619649230 : (((2, 2), (3, 7), (3, 7)), 1), Orbit 1
2530775251521305475 : (((2, 7), (3, 6), (6, 7)), 0), Orbit 0
-6760656160435759019 : (((2, 7), (3, 6), (6, 7)), 1), Orbit 1
-253015404333760594 : (((2, 7), (3, 6), (6, 7)), 2), Orbit 2
5961297737818047022 : (((2, 6), (3, 7), (6, 7)), 0), Orbit 0
8070581110935677319 : (((2, 6), (3, 7), (6, 7)), 1), Orbit 1
3177507081962980953 : (((2, 6), (3, 7), (6, 7)), 2), Orbit 2
1035949019199751772 : (((2, 3), (2, 3), (2, 3)), 0), Orbit 0
-4584744280944282672 : (((2, 2), (2, 3), (3, 3)), 0), Orbit 0
8968925763792572578 : (((2, 2), (2, 3), (3, 3)), 1), Orbit 1
-2970177553814980613 : (((2, 2), (2, 3), (3, 3)), 2), Orbit 2
7875110525712948159 : (((2, 3), (2, 6), (3, 6)), 0), Orbit 0
-4063992791894605032 : (((2, 3), (2, 6), (3, 6)), 1), Orbit 1
5091319869857882090 : (((2, 3), (2, 6), (3, 6)), 2), Orbit 2
5545203273842023493 : (((2, 2), (3, 6), (3, 6)), 0), Orbit 0
7654486646959653790 : (((2, 2), (3, 6), (3, 6)), 1), Orbit 1
-5852603026525229094 : (((2, 6), (2, 6), (3, 3)), 0), Orbit 0
-3743319653407598797 : (((2, 6), (2, 6), (3, 3)), 1), Orbit 1
4784925180622420330 : (((2, 6), (3, 6), (6, 6)), 0), Orbit 0
-108148848350276036 : (((2, 6), (3, 6), (6, 6)), 1), Orbit 1
6399491907751722389 : (((2, 6), (3, 6), (6, 6)), 2), Orbit 2
2427220921441785116 : (((0, 2), (0, 5), (3, 4)), 0), Orbit 0
8934861677543783541 : (((0, 2), (0, 5), (3, 4)), 1), Orbit 1
4041787648571087175 : (((0, 2), (0, 5), (3, 4)), 2), Orbit 2
