orbit	id	count
 (((2, 3), (2, 6), (3, 6)), 1), Orbit 1	249	1795
 (((2, 3), (2, 6), (3, 6)), 2), Orbit 2	250	1795
 (((1, 3), (1, 6), (2, 6)), 0), Orbit 0	197	1472
 (((1, 3), (1, 6), (2, 6)), 1), Orbit 1	198	1472
 (((1, 3), (1, 6), (2, 6)), 2), Orbit 2	199	1472
 (((1, 2), (1, 3), (2, 3)), 0), Orbit 0	189	1166
 (((1, 2), (1, 3), (2, 3)), 1), Orbit 1	190	1166
 (((1, 2), (1, 3), (2, 3)), 2), Orbit 2	191	1166
 (((0, 6), (0, 6), (6, 6)), 1), Orbit 1	76	1026
 (((2, 3), (2, 3), (2, 3)), 0), Orbit 0	244	831
 (((1, 1), (1, 4), (1, 5)), 0), Orbit 0	78	751
 (((1, 1), (1, 4), (1, 5)), 1), Orbit 1	79	751
 (((1, 1), (1, 4), (1, 5)), 2), Orbit 2	80	751
 (((0, 1), (0, 7), (1, 7)), 0), Orbit 0	15	623
 (((0, 1), (0, 7), (1, 7)), 1), Orbit 1	16	623
 (((0, 1), (0, 7), (1, 7)), 2), Orbit 2	17	623
 (((1, 5), (1, 5), (4, 4)), 0), Orbit 0	83	472
 (((2, 7), (3, 5), (4, 7)), 0), Orbit 0	178	349
 (((2, 7), (3, 5), (4, 7)), 1), Orbit 1	179	349
 (((2, 7), (3, 5), (4, 7)), 2), Orbit 2	180	349
 (((1, 3), (1, 7), (2, 7)), 0), Orbit 0	166	332
 (((1, 3), (1, 7), (2, 7)), 1), Orbit 1	167	332
 (((1, 3), (1, 7), (2, 7)), 2), Orbit 2	168	332
 (((2, 2), (3, 7), (3, 7)), 1), Orbit 1	235	322
 (((0, 2), (0, 7), (3, 7)), 0), Orbit 0	56	262
 (((0, 2), (0, 7), (3, 7)), 1), Orbit 1	57	262
 (((0, 2), (0, 7), (3, 7)), 2), Orbit 2	58	262
 (((1, 5), (1, 5), (4, 4)), 1), Orbit 1	84	236
